protein_id,gene,protein_name,temporal_class,late_subclass,evidence_type,citation,pmid,doi,source,confidence,annotator,notes,verification_status
YP_009137083.1,UL9,DNA replication origin-binding helicase,Early,None,Origin binding protein replication initiation,Olivo et al. (1988) PNAS 85:5414-5418,2840659,10.1073/pnas.85.15.5414,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL9),Verified (Literature Ground Truth)
YP_009137084.1,UL10,envelope glycoprotein M,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein M),Verified (Literature Ground Truth)
YP_009137085.1,UL11,myristylated tegument protein,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (myristylated tegument protein),Verified (Literature Ground Truth)
YP_009137086.1,UL12,deoxyribonuclease,Early,None,Alkaline nuclease recombination enzyme,Weller et al. (1990) J Virol 64:2890-2899,2159547,10.1128/jvi.64.6.2890-2899.1990,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL12),Verified (Literature Ground Truth)
YP_009137087.1,UL13,tegument serine/threonine protein kinase,Early,None,Protein kinase beta kinetics,Overton et al. (1992) Virology 190:184-192,1324546,10.1016/0042-6822(92)91204-i,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL13),Verified (Literature Ground Truth)
YP_009137088.1,UL14,tegument protein UL14,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (tegument protein UL14),Verified (Literature Ground Truth)
YP_009137089.1,UL15,DNA packaging terminase subunit 1,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (DNA packaging terminase subunit 1),Verified (Literature Ground Truth)
YP_009137090.1,UL16,tegument protein UL16,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (tegument protein UL16),Verified (Literature Ground Truth)
YP_009137091.1,UL17,DNA packaging tegument protein UL17,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (DNA packaging tegument protein UL17),Verified (Literature Ground Truth)
YP_009137092.1,UL18,capsid triplex subunit 2,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (capsid triplex subunit 2),Verified (Literature Ground Truth)
YP_009137093.1,UL19,major capsid protein,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (major capsid protein),Verified (Literature Ground Truth)
YP_009137094.1,UL20,envelope protein UL20,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope protein UL20),Verified (Literature Ground Truth)
YP_009137095.1,UL21,tegument protein UL21,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (tegument protein UL21),Verified (Literature Ground Truth)
YP_009137096.1,UL22,envelope glycoprotein H,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein H),Verified (Literature Ground Truth)
YP_009137097.1,UL23,involved in nucleotide metabolism,Early,None,Thymidine kinase classic beta enzyme,Honess & Roizman (1974) J Virol; McGeoch (1988),4365321,10.1128/jvi.14.1.8-19.1974,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL23),Verified (Literature Ground Truth)
YP_009137098.1,UL24,nuclear protein UL24,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (nuclear protein UL24),Verified (Literature Ground Truth)
YP_009137099.1,UL25,DNA packaging tegument protein UL25,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (DNA packaging tegument protein UL25),Verified (Literature Ground Truth)
YP_009137100.1,UL26,capsid maturation protease,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (capsid maturation protease),Verified (Literature Ground Truth)
YP_009137101.1,UL26.5,capsid scaffold protein,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (capsid scaffold protein),Verified (Literature Ground Truth)
YP_009137102.1,UL27,envelope glycoprotein B,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein B),Verified (Literature Ground Truth)
YP_009137103.1,UL28,DNA packaging terminase subunit 2,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (DNA packaging terminase subunit 2),Verified (Literature Ground Truth)
YP_009137104.1,UL29,single-stranded DNA-binding protein,Early,None,Single-stranded DNA-binding protein ICP8,Quinn & McGeoch (1985) Nucleic Acids Res,2987854,10.1093/nar/13.11.4007,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL29),Verified (Literature Ground Truth)
YP_009137105.1,UL30,DNA polymerase catalytic subunit,Early,None,DNA polymerase catalytic subunit,Gibbs et al. (1985) PNAS 82:7969-7973,2999787,10.1073/pnas.82.23.7969,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL30),Verified (Literature Ground Truth)
YP_009137106.1,UL31,nuclear egress lamina protein,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (nuclear egress lamina protein),Verified (Literature Ground Truth)
YP_009137107.1,UL32,DNA packaging protein UL32,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (DNA packaging protein UL32),Verified (Literature Ground Truth)
YP_009137108.1,UL33,DNA packaging protein UL33,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (DNA packaging protein UL33),Verified (Literature Ground Truth)
YP_009137109.1,UL34,nuclear egress membrane protein,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (nuclear egress membrane protein),Verified (Literature Ground Truth)
YP_009137110.1,UL35,small capsid protein,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (small capsid protein),Verified (Literature Ground Truth)
YP_009137111.1,UL36,large tegument protein,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (large tegument protein),Verified (Literature Ground Truth)
YP_009137112.1,UL37,tegument protein UL37,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (tegument protein UL37),Verified (Literature Ground Truth)
YP_009137113.1,UL38,capsid triplex subunit 1,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (capsid triplex subunit 1),Verified (Literature Ground Truth)
YP_009137114.1,UL39,ribonucleotide reductase subunit 1,Early,None,Ribonucleotide reductase large subunit ICP6,Goldstein & Weller (1988) J Virol 62:196-205,2824810,10.1128/jvi.62.1.196-205.1988,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL39),Verified (Literature Ground Truth)
YP_009137115.1,UL40,ribonucleotide reductase subunit 2,Early,None,Ribonucleotide reductase small subunit RR2,Goldstein & Weller (1988) J Virol 62:196-205,2824810,10.1128/jvi.62.1.196-205.1988,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL40),Verified (Literature Ground Truth)
YP_009137116.1,UL41,tegument host shutoff protein,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (tegument host shutoff protein),Verified (Literature Ground Truth)
YP_009137117.1,UL42,DNA polymerase processivity subunit,Early,None,DNA polymerase processivity factor,Gottlieb et al. (1990) J Virol 64:5976-5987,2173715,10.1128/jvi.64.12.5976-5987.1990,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL42),Verified (Literature Ground Truth)
YP_009137118.1,UL43,envelope protein UL43,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope protein UL43),Verified (Literature Ground Truth)
YP_009137119.1,UL44,envelope glycoprotein C,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein C),Verified (Literature Ground Truth)
YP_009137120.1,UL45,membrane protein UL45,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (membrane protein UL45),Verified (Literature Ground Truth)
YP_009137121.1,UL46,tegument protein VP11/12,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (tegument protein VP11/12),Verified (Literature Ground Truth)
YP_009137122.1,UL47,tegument protein VP13/14,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (tegument protein VP13/14),Verified (Literature Ground Truth)
YP_009137123.1,UL48,transactivating tegument protein VP16,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (transactivating tegument protein VP16),Verified (Literature Ground Truth)
YP_009137124.1,UL49,tegument protein VP22,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (tegument protein VP22),Verified (Literature Ground Truth)
YP_009137125.1,UL49A,envelope glycoprotein N,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein N),Verified (Literature Ground Truth)
YP_009137126.1,UL50,deoxyuridine triphosphatase,Early,None,dUTP pyrophosphatase nucleotide metabolism,McGeoch (1988) J Gen Virol 69:1531-1574,2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL50),Verified (Literature Ground Truth)
YP_009137127.1,UL51,tegument protein UL51,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (tegument protein UL51),Verified (Literature Ground Truth)
YP_009137128.1,UL52,helicase-primase primase subunit,Early,None,Helicase-primase primase subunit,Crute et al. (1989) PNAS 86:2186-2189,2538836,10.1073/pnas.86.7.2186,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL52),Verified (Literature Ground Truth)
YP_009137129.1,UL53,envelope glycoprotein K,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein K),Verified (Literature Ground Truth)
YP_009137130.1,UL54,multifunctional expression regulator,Immediate-Early,None,ICP27 mRNA processing factor kinetics,McCarthy et al. (1989) J Virol 63(1):18-27; Roizman et al. (2013) Fields Virology,2535732,10.1128/jvi.63.1.18-27.1989,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (UL54),Verified (Literature Ground Truth)
YP_009137131.1,UL55,nuclear protein UL55,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (nuclear protein UL55),Verified (Literature Ground Truth)
YP_009137132.1,UL56,membrane protein UL56,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (membrane protein UL56),Verified (Literature Ground Truth)
YP_009137135.1,RS1,transcriptional regulator ICP4,Immediate-Early,None,Immediate-early transactivator kinetics,Honess & Roizman (1974) J Virol; Roizman et al. (2013) Fields Virology,4365321,10.1128/jvi.14.1.8-19.1974,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (RS1),Verified (Literature Ground Truth)
YP_009137136.1,US1,regulatory protein ICP22,Immediate-Early,None,Alpha-gene expression in presence of protein synthesis inhibitors,Roizman et al. (2013) Fields Virology; McGeoch et al. (1985) J Mol Biol,2995674,10.1016/0022-2836(85)90154-2,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (US1),Verified (Literature Ground Truth)
YP_009137137.1,US2,virion protein US2,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (virion protein US2),Verified (Literature Ground Truth)
YP_009137138.1,US3,serine/threonine protein kinase US3,Early,None,Serine/threonine kinase US3 expression,Purves et al. (1987) J Gen Virol 68:2959-2964,2824683,10.1099/0022-1317-68-11-2959,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (US3),Verified (Literature Ground Truth)
YP_009137139.1,US4,envelope glycoprotein G,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein G),Verified (Literature Ground Truth)
YP_009137140.1,US5,envelope glycoprotein J,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein J),Verified (Literature Ground Truth)
YP_009137141.1,US6,envelope glycoprotein D,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein D),Verified (Literature Ground Truth)
YP_009137142.1,US7,envelope glycoprotein I,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein I),Verified (Literature Ground Truth)
YP_009137143.1,US8,envelope glycoprotein E,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (envelope glycoprotein E),Verified (Literature Ground Truth)
YP_009137144.1,US8A,membrane protein US8A,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (membrane protein US8A),Verified (Literature Ground Truth)
YP_009137145.1,US9,membrane protein US9,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (membrane protein US9),Verified (Literature Ground Truth)
YP_009137146.1,US10,virion protein US10,Late,Gamma-2,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (virion protein US10),Verified (Literature Ground Truth)
YP_009137147.1,US11,tegument protein US11,Late,Gamma-1,Structural / Virion Component Expression,"Roizman B et al. (2013) Fields Virology, 6th edn, Lippincott Williams & Wilkins",2839594,10.1099/0022-1317-69-7-1531,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Late-stage structural/assembly component (tegument protein US11),Verified (Literature Ground Truth)
YP_009137148.1,US12,TAP transporter inhibitor ICP47,Immediate-Early,None,ICP47 TAP inhibitor immediate-early expression,York et al. (1994) Nature 371:711-714; Roizman et al. (2013) Fields Virology,7935840,10.1038/371711a0,Fields Virology / PubMed Primary Literature,High,Biomedical Literature Curator,Curated from seminal herpesvirus temporal cascade literature (US12),Verified (Literature Ground Truth)
