protein_id,accession,gene,primary_temporal_class,late_subclass,verification_status,protein_length,primary_known_function,functional_category,documented_localization_or_compartment,documented_role_in_HSV1_life_cycle,documented_interactions_if_relevant,relevant_literature_reference,pmid,doi,evidence_type,evidence_strength,notes
YP_009137092.1,NC_001806.2,UL18,Late,Gamma-2,verified,318,Capsid triplex subunit 2 (VP23); heterotrimerizes with two copies of UL38 (VP19C) to form the triplex structures (1:2 ratio) that link hexon and penton capsomers in the capsid shell.,capsid/structural,Nucleus (capsid assembly sites),Assembly and structural stability of the icosahedral procapsid shell.,"UL38 (triplex subunit 1 / VP19C), UL19 (VP5 major capsid protein)",Patel & MacLean (1995) Virology 206:1106-1112; Dai & Zhou (2018) Science 360:eaao7298,7750031,10.1006/viro.1995.1034,Direct Experimental / Literature Curation,High,True late (gamma-2) core structural protein.
YP_009137093.1,NC_001806.2,UL19,Late,Gamma-2,verified,1374,"Major capsid protein (VP5, 149 kDa); primary structural building block forming 150 hexons and 11 pentons of the icosahedral capsid shell (960 copies per virion).",capsid/structural,Nucleus (capsid assembly factories),Self-assembly into procapsids; virion structural integrity.,"UL18/UL38 (triplexes), UL26/UL26.5 (scaffolding proteins), UL6 (portal)",Costa et al. (1981) J Virol 38:483-496; Dai & Zhou (2018) Science 360:eaao7298,6271960,10.1128/jvi.38.2.483-496.1981,Direct Experimental / Literature Curation,High,True late (gamma-2) major structural hallmark; 100% correct in supervised classification.
YP_009137094.1,NC_001806.2,UL20,Late,Gamma-2,verified,222,"Multi-pass transmembrane envelope protein UL20; forms an essential functional complex with glycoprotein K (UL53/gK), required for primary envelopement at the inner nuclear membrane and secondary envelopment.",nuclear egress,"Nuclear envelope, endoplasmic reticulum, trans-Golgi network, plasma membrane",Primary and secondary viral envelopment and egress.,"UL53 (glycoprotein K / gK), UL31/UL34 (nuclear egress complex)",Baines et al. (1991) J Virol 65:6414-6424; Ward et al. (1994) J Virol 68:7406-7414,1656094,10.1128/jvi.65.12.6414-6424.1991,Direct Experimental / Literature Curation,High,Late (gamma-2) membrane protein.
YP_009137095.1,NC_001806.2,UL21,Late,Gamma-1,verified,535,Tegument protein UL21; promotes microtubule-dependent retrograde and anterograde capsid transport in neurons and interacts with UL16/UL11 during envelopment.,tegument,Cytoplasm and nucleus; virion tegument,Intracellular transport of viral capsids and secondary envelopment.,"UL16 (tegument), cytoplasmic dynein / kinesin motors",de Wind et al. (1992) J Virol 66:5200-5209; Benedyk et al. (2020) J Virol 94:e00898-20,1323696,10.1128/jvi.66.9.5200-5209.1992,Direct Experimental / Literature Curation,High,Late (gamma-1) tegument transport protein.
YP_009137096.1,NC_001806.2,UL22,Late,Gamma-1,verified,838,"Envelope glycoprotein H (gH); core component of the conserved herpesvirus entry and fusion machinery, complexing with gL (UL1) to activate gB (UL27) during membrane fusion.",envelope/glycoprotein,Virion envelope and plasma membrane,Viral entry and cell-to-cell fusion.,"UL1 (gL), UL27 (gB), host integrins and receptors",Gompels & Minson (1986) Virology 153:230-247; Chowdary et al. (2010) Science 327:606-610,3014168,10.1016/0042-6822(86)90026-9,Direct Experimental / Literature Curation,High,Late (gamma-1) essential fusion glycoprotein.
YP_009137097.1,NC_001806.2,UL23,Early,N/A,verified,376,"Thymidine kinase (TK); phosphorylates thymidine and deoxycytidine into dTMP and dCMP, and activates nucleoside antiviral prodrugs (acyclovir, ganciclovir).",nucleotide metabolism,Cytoplasm and nucleus,Salvage pathway pyrimidine nucleotide synthesis in quiescent neurons.,"Thymidine, purine/pyrimidine analogs (acyclovir)",Wagner et al. (1981) PNAS 78:1441-1445; Summers & Summers (1977) J Virol 24:314-318,6262793,10.1073/pnas.78.3.1441,Direct Experimental / Literature Curation,High,Early (beta) metabolic enzyme and primary pharmacological drug target.
YP_009137098.1,NC_001806.2,UL24,Late,Gamma-2,verified,269,"Nuclear protein UL24; induces dispersion of nucleolar proteins (B23, nucleolin), modulates syncytium formation, and participates in nuclear egress.",host-interaction/regulatory,Nucleus (nucleolus) and nuclear envelope,Nucleolar morphology alteration; viral egress modulation.,Host nucleolar proteins (B23/nucleophosmin),Jacobson et al. (1998) J Virol 72:3325-3334; Lymberopoulos & Pearson (2007) J Virol 81:12564-12572,9525660,10.1128/jvi.72.4.3325-3334.1998,Direct Experimental / Literature Curation,High,Late (gamma-2) protein; non-structural regulatory role contributes to early-like computational classification.
YP_009137099.1,NC_001806.2,UL25,Late,Gamma-1,verified,580,Minor capsid-associated tegument protein (CATC/CVCR); binds capsid vertices to anchor packaged viral DNA inside capsids and trigger nuclear pore docking for genome uncoating.,DNA packaging,Nucleus (capsid vertices) and nuclear pores,DNA retention in capsids; genome uncoating at nuclear pores upon entry.,"UL17 (CATC), UL19 (VP5), Nup214 / Nup358 at host nuclear pore",Ali et al. (1996) J Virol 70:5258-5267; Pasdeloup et al. (2009) Traffic 10:1082-1092,8627776,10.1128/jvi.70.8.5258-5267.1996,Direct Experimental / Literature Curation,High,Late (gamma-2) capsid stabilization factor.
YP_009137100.1,NC_001806.2,UL26,Late,Gamma-2,verified,635,Capsid maturation serine protease (VP24/VP21); auto-cleaves to liberate the active VP24 protease domain which cleaves scaffolding proteins to permit DNA packaging into procapsids.,capsid/structural,Nucleus (capsid assembly sites),Procapsid scaffolding maturation and core evacuation.,"UL26.5 (scaffold protein), UL19 (VP5)",Preston et al. (1992) J Virol 66:6489-6497; Robertson et al. (1996) J Virol 70:3717-3721,1404505,10.1128/jvi.66.11.6489-6497.1992,Direct Experimental / Literature Curation,High,True late (gamma-2) protease.
YP_009137101.1,NC_001806.2,UL26.5,Late,Gamma-2,verified,329,Major capsid scaffolding protein (VP22a); self-assembles into an internal spherical scaffold that templates VP5 hexon/penton assembly into spherical B-procapsids.,capsid/structural,Nucleus (capsid assembly factories),Procapsid shell scaffolding assembly.,"UL19 (VP5), UL26 (protease)",Preston et al. (1992) J Virol 66:6489-6497; Newcomb et al. (1996) J Mol Biol 263:432-446,1404505,10.1128/jvi.66.11.6489-6497.1992,Direct Experimental / Literature Curation,High,True late (gamma-2) major scaffold protein.
YP_009137102.1,NC_001806.2,UL27,Late,Gamma-1,verified,904,Envelope glycoprotein B (gB); class III viral fusion protein executing the ultimate lipid bilayer fusion step during entry and cell-to-cell spread.,envelope/glycoprotein,Virion envelope and plasma membrane,Membrane fusion pore formation during host cell penetration.,"gH/gL complex (UL22/UL1), host PILRalpha, NMHC-IIA, myelin-associated glycoprotein",Heldwein et al. (2006) Science 313:217-220; Spear (2004) Cell Microbiol 6:401-410,16840698,10.1126/science.1126548,Direct Experimental / Literature Curation,High,Late (gamma-1) major entry glycoprotein.
YP_009137103.1,NC_001806.2,UL28,Late,Gamma-2,verified,785,DNA packaging terminase subunit 2; bridges UL15 and UL33 and recognizes viral pac packaging DNA sequences for cleavage.,DNA packaging,Nucleus (capsid assembly sites),Viral DNA sequence-specific packaging.,"UL15 (terminase subunit 1), UL33 (terminase subunit 3), viral pac DNA",Tengelsen et al. (1993) J Virol 67:3470-3480; Yu & Weller (1998) J Virol 72:7428-7439,8388506,10.1128/jvi.67.6.3470-3480.1993,Direct Experimental / Literature Curation,High,True late (gamma-2) terminase factor.
YP_009137104.1,NC_001806.2,UL29,Early,N/A,verified,1196,"Major single-stranded DNA-binding protein (ICP8, 128 kDa); coats ssDNA during replication, organizes nuclear replication compartments, and promotes strand exchange.",DNA replication,Nucleus (prereplicative sites and replication compartments),Core component of viral DNA replication machinery.,"UL30 (DNA polymerase), UL9 (OBP), UL12 (alkaline nuclease), UL5/8/52",Conley et al. (1981) J Virol 37:191-206; Weller et al. (1983) J Virol 45:354-366,6257913,10.1128/jvi.37.1.191-206.1981,Direct Experimental / Literature Curation,High,Early (beta) replication hallmark.
YP_009137105.1,NC_001806.2,UL30,Early,N/A,verified,1235,DNA polymerase catalytic subunit (136 kDa); executes high-fidelity 5'-to-3' DNA synthesis with intrinsic 3'-to-5' proofreading exonuclease activity.,DNA replication,Nucleus (replication compartments),Viral genome replication.,"UL42 (processivity factor), UL29 (ICP8), UL2 (UDG)",Gibbs et al. (1985) PNAS 82:7969-7973; Digard et al. (1993) J Virol 67:398-406,2999787,10.1073/pnas.82.23.7969,Direct Experimental / Literature Curation,High,Early (beta) primary replicative polymerase.
YP_009137106.1,NC_001806.2,UL31,Late,Gamma-2,verified,306,"Nuclear egress protein UL31; complexes with inner nuclear membrane protein UL34 to form the Nuclear Egress Complex (NEC), driving primary budding of capsids through the inner nuclear membrane.",nuclear egress,Inner nuclear membrane (nuclear envelope),Primary capsid envelopment and nuclear egress.,"UL34 (nuclear egress protein), capsids, host lamin A/C, protein kinase C",Chang et al. (1997) J Virol 71:8307-8315; Bigalke & Heldwein (2015) Cell 160:1107-1119,9349463,10.1128/jvi.71.11.8307-8315.1997,Direct Experimental / Literature Curation,High,Late (gamma-1) nuclear egress factor.
YP_009137107.1,NC_001806.2,UL32,Late,Gamma-2,verified,596,Cleavage and packaging protein UL32; essential for viral DNA cleavage/packaging and capsid envelopment.,DNA packaging,Nucleus and cytoplasmic membranes,DNA packaging and egress.,Unresolved in consulted sources,Lamberti & Weller (1998) J Virol 72:2463-2473; Roizman et al. (2013) Fields Virology,9499104,10.1128/jvi.72.3.2463-2473.1998,Direct Experimental / Literature Curation,High,Late (gamma-2) packaging protein.
YP_009137108.1,NC_001806.2,UL33,Late,Gamma-2,verified,130,"DNA packaging terminase subunit 3; essential component of the tripartite terminase complex, stabilizing the UL15/UL28 interaction.",DNA packaging,Nucleus (capsid assembly sites),DNA encapsidation motor function.,"UL15 (terminase subunit 1), UL28 (terminase subunit 2)",Beard et al. (2002) J Virol 76:4785-4791; Yu & Weller (1998) J Virol 72:7428-7439,11967295,10.1128/jvi.76.10.4785-4791.2002,Direct Experimental / Literature Curation,High,Late (gamma-2) terminase complex subunit.
YP_009137109.1,NC_001806.2,UL34,Late,Gamma-2,verified,275,Inner nuclear membrane egress protein UL34; type II integral membrane protein complexing with UL31 to form the hexameric NEC lattice.,nuclear egress,Inner nuclear membrane,Primary capsid envelopment.,"UL31 (NEC subunit), US3 (protein kinase)",Roller et al. (2000) J Virol 74:117-129; Bigalke & Heldwein (2015) Cell 160:1107-1119,10627535,10.1128/jvi.74.1.117-129.2000,Direct Experimental / Literature Curation,High,Late (gamma-1) integral membrane NEC protein.
YP_009137110.1,NC_001806.2,UL35,Late,Gamma-2,verified,112,Capsid vertex-specific protein (VP26); small protein decorating the outer tips of all 150 hexon capsomers (900 copies per capsid).,capsid/structural,Nucleus; virion capsid surface,Microtubule retrograde transport in axons.,"UL19 (VP5), host dynein light chains (DYNLT1/RP3, DYNLL1/LC8)",Booy et al. (1994) PNAS 91:5652-5656; Douglas et al. (2004) Nat Cell Biol 6:521-528,8202542,10.1073/pnas.91.12.5652,Direct Experimental / Literature Curation,High,True late (gamma-2) small outer capsid protein.
YP_009137111.1,NC_001806.2,UL36,Late,Gamma-1,verified,3139,"Large tegument protein (VP1/2, 3,139 aa, 336 kDa); largest viral protein, serving as the master structural hub linking the outer capsid to the tegument and anchoring dynein/kinesin motors for axonal transport.",tegument,"Capsid-tegument interface, cytoplasm, nuclear pore complex","Retrograde/anterograde axonal transport, nuclear pore docking, genome injection, and secondary envelopment.","UL37 (tegument), UL25 (CATC), host dynein/kinesin, nuclear pore proteins (Nup358, Nup214)",McNabb & Courtney (1992) J Virol 66:2655-2663; Sandbaumhuter et al. (2013) PLoS Pathog 9:e1003230,1314958,10.1128/jvi.66.5.2655-2663.1992,Direct Experimental / Literature Curation,High,"Late (gamma-1) giant structural/regulatory hub (3,139 aa); classified as moderate-margin error (Delta p = 0.333)."
YP_009137112.1,NC_001806.2,UL37,Late,Gamma-1,verified,1123,"Tegument protein UL37; forms an obligate complex with UL36 at capsid vertices, required for directional axonal transport and secondary envelopment.",tegument,"Capsid-tegument interface, cytoplasm",Axonal transport and secondary envelopment.,"UL36 (large tegument protein), host dystonin, cellular motors",Albright et al. (1999) J Virol 73:8000-8004; Coller et al. (2007) J Virol 81:11790-11797,10482542,10.1128/jvi.73.10.8000-8004.1999,Direct Experimental / Literature Curation,High,Late (gamma-1) tegument protein.
YP_009137113.1,NC_001806.2,UL38,Late,Gamma-2,verified,465,Capsid triplex subunit 1 (VP19C); forms the base of the triplex heterotrimer with two copies of VP23 (UL18).,capsid/structural,Nucleus (capsid assembly sites),Procapsid assembly and capsid stabilization.,"UL18 (VP23), UL19 (VP5)",Patel et al. (1995) Virology 206:1106-1112; Dai & Zhou (2018) Science 360:eaao7298,7750031,10.1006/viro.1995.1034,Direct Experimental / Literature Curation,High,True late (gamma-2) core structural protein.
YP_009137114.1,NC_001806.2,UL39,Early,N/A,verified,1137,"Ribonucleotide reductase large subunit 1 (ICP6, 124 kDa); converts ribonucleotides to deoxyribonucleotides (dNTPs) for DNA replication; contains an N-terminal RHIM domain that inhibits host necroptosis (RIPK1/RIPK3).",nucleotide metabolism,Cytoplasm and nucleus,De novo dNTP biosynthesis and inhibition of host programmed necrosis.,"UL40 (RR subunit 2), host RIPK1, RIPK3, caspase-8",Preston et al. (1984) J Virol 52:102-109; Wang et al. (2014) Cell 152:1020-1032,6090685,10.1128/jvi.52.1.102-109.1984,Direct Experimental / Literature Curation,High,Early (beta) multifunctional metabolic and anti-necroptotic protein.
YP_009137115.1,NC_001806.2,UL40,Early,N/A,verified,340,"Ribonucleotide reductase small subunit 2 (RR2, 38 kDa); forms the active alpha2-beta2 tetrameric holoenzyme with UL39/ICP6 containing the binuclear iron center.",nucleotide metabolism,Cytoplasm,dNTP pool generation during viral replication.,UL39 (RR subunit 1 / ICP6),Cohen et al. (1985) J Virol 55:289-299; Roizman et al. (2013) Fields Virology,2991578,10.1128/jvi.55.2.289-299.1985,Direct Experimental / Literature Curation,High,Early (beta) small subunit of ribonucleotide reductase.
YP_009137116.1,NC_001806.2,UL41,Late,Gamma-1,verified,489,"Virion host shutoff (vhs) endoribonuclease; packaged into the tegument and released into host cytoplasm upon entry to non-specifically cleave host and viral mRNAs, shutting off host protein synthesis.",host-interaction/regulatory,Cytoplasm (mRNA decay sites) and virion tegument,Immediate host translational shutoff and viral mRNA turnover.,"Host eIF4AI, eIF4AII, eIF4H, UL48/VP16, UL47/VP13/14",Read & Frenkel (1983) J Virol 46:498-512; Kwong et al. (1988) J Virol 62:912-921,6300086,10.1128/jvi.46.2.498-512.1983,Direct Experimental / Literature Curation,High,"Late (gamma-1) expression, but functions immediately upon uncoating (high-confidence error Delta p = 0.352)."
YP_009137117.1,NC_001806.2,UL42,Early,N/A,verified,488,DNA polymerase processivity factor (65 kDa); binds double-stranded DNA directly and forms a high-affinity stoichiometric complex with UL30 catalytic subunit to ensure processive replication.,DNA replication,Nucleus (replication compartments),Processive viral genome elongation.,"UL30 (DNA polymerase catalytic subunit), dsDNA",Parris et al. (1988) J Virol 62:869-875; Gottlieb et al. (1990) J Virol 64:5976-5987,2828678,10.1128/jvi.62.3.869-875.1988,Direct Experimental / Literature Curation,High,Early (beta) essential replication factor.
YP_009137118.1,NC_001806.2,UL43,Late,Gamma-2,verified,417,Multi-pass transmembrane protein UL43; non-essential membrane protein involved in membrane fusion regulation.,envelope/glycoprotein,Plasma membrane and intracellular membranes,Regulation of membrane fusion.,Unresolved in consulted sources,MacLean et al. (1991) J Gen Virol 72:897-906; Roizman et al. (2013) Fields Virology,1849556,10.1099/0022-1317-72-4-897,Direct Experimental / Literature Curation,High,Late (gamma-1) multi-pass membrane protein.
YP_009137119.1,NC_001806.2,UL44,Late,Conflicting,conflicting,511,Envelope glycoprotein C (gC); binds host cell surface heparan sulfate proteoglycans (HSPGs) for initial attachment and binds host complement component C3b to inhibit complement activation.,envelope/glycoprotein,Virion envelope and plasma membrane,Initial viral attachment to host cells; complement evasion.,"Cellular heparan sulfate proteoglycans, host complement C3b",Frink et al. (1983) J Virol 45:634-647; Kostavasili et al. (1997) J Virol 71:7450-7457,6296435,10.1128/jvi.45.2.634-647.1983,Direct Experimental / Literature Curation,High,Primary class Late; subclass annotated as Conflicting (gamma-1/gamma-2) in literature; strictly preserved.
