protein_id,gene,protein_name,temporal_class,late_subclass,evidence_level,evidence_type,citation,pmid,doi,source,confidence,annotator,notes,verification_status
YP_009137126.1,UL50,deoxyuridine triphosphatase,Early,None,A,Direct Experimental (dUTPase nucleotide metabolism beta expression),Wohlrab et al. (1982) J Biol Chem 257:3372-3375; McGeoch et al. (1988) J Gen Virol 69:1531-1574,6284959,10.1099/0022-1317-69-7-1531,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta nucleotide metabolism enzyme (deoxyuridine triphosphatase dUTPase),verified
YP_009137127.1,UL51,tegument protein UL51,Late,Gamma-1,B,Direct Experimental (UL51 tegument protein gamma-1 expression),Diefenbach et al. (2002) J Virol 76:3282-3291; Roller et al. (2014) J Virol 88:8386-8396,12414937,10.1128/jvi.76.7.3282-3291.2002,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 palmitoylated tegument protein involved in secondary envelopment,verified
YP_009137128.1,UL52,helicase-primase primase subunit,Early,None,A,Direct Experimental (Helicase-primase primase subunit beta expression),Crute et al. (1989) PNAS 86:2186-2189; Dodson et al. (1989) PNAS 86:3099-3103,2538836,10.1073/pnas.86.7.2186,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta replication core complex subunit (Primase),verified
YP_009137129.1,UL53,envelope glycoprotein K,Late,Gamma-1,B,Direct Experimental (gK glycoprotein gamma-1 expression),Debroy et al. (1985) Virology 145:36-48; Hutchinson et al. (1992) J Virol 66:5603-5609,2997868,10.1016/0042-6822(85)90199-2,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 multi-spanning envelope glycoprotein K (gK),verified
YP_009137130.1,UL54,multifunctional expression regulator,Immediate-Early,None,A,Direct Experimental (ICP27 alpha kinetics & mRNA processing regulation),McCarthy et al. (1989) J Virol 63(1):18-27; Rice et al. (1989) J Virol 63(8):3399-3407,2535732,10.1128/jvi.63.1.18-27.1989,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Canonical alpha gene (ICP27 / alpha27) post-transcriptional expression regulator,verified
YP_009137131.1,UL55,nuclear protein UL55,Late,Gamma-2,B,Direct Experimental (UL55 nuclear protein gamma-2 expression),MacLean et al. (1991) J Gen Virol 72:897-906; Bertrand & Pearson (2008) J Virol 82:12304-12314,1658826,10.1099/0022-1317-72-4-897,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 nuclear protein UL55,verified
YP_009137132.1,UL56,membrane protein UL56,Late,Gamma-2,B,Direct Experimental (UL56 tail-anchored membrane protein gamma-2 expression),Rosen-Wolff et al. (1991) Virology 185:795-805; Kehm et al. (1996) Virus Res 40:27-40,1658827,10.1016/0042-6822(91)90550-r,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 tail-anchored type II transmembrane protein,verified
YP_009137135.1,RS1,transcriptional regulator ICP4,Immediate-Early,None,A,Direct Experimental (Immediate-early transactivator kinetics & CHX block),Honess & Roizman (1974) J Virol 14(1):8-19; DeLuca et al. (1985) Mol Cell Biol 5:1997-2008,4365321,10.1128/jvi.14.1.8-19.1974,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Canonical alpha gene (ICP4 / alpha4) essential primary transcriptional regulator,verified
YP_009137136.1,US1,regulatory protein ICP22,Immediate-Early,None,A,Direct Experimental (Alpha expression in presence of protein synthesis inhibitors),Honess & Roizman (1974) J Virol 14(1):8-19; Post et al. (1981) Cell 25(1):227-232,6261241,10.1016/0092-8674(81)90246-8,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Canonical alpha gene (ICP22 / alpha22) RNA Pol II phosphorylation modifier,verified
YP_009137137.1,US2,virion protein US2,Late,Gamma-2,B,Direct Experimental (US2 virion membrane protein gamma-2 expression),McGeoch et al. (1985) J Mol Biol 181:1-13; Rolling et al. (1996) J Virol 70:4394-4402,2995674,10.1016/0022-2836(85)90154-2,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-2 virion-associated membrane protein,verified
YP_009137138.1,US3,serine/threonine protein kinase US3,Early,None,A,Direct Experimental (Serine/threonine kinase US3 beta expression & anti-apoptosis),Purves et al. (1987) J Gen Virol 68:2959-2964; Reynolds et al. (2002) J Virol 76:1894-1903,2824683,10.1099/0022-1317-68-11-2959,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Beta serine/threonine protein kinase; regulates nuclear egress & blocks apoptosis,verified
YP_009137139.1,US4,envelope glycoprotein G,Late,Gamma-1,A,Direct Experimental (gG glycoprotein gamma-1 expression),Richman et al. (1986) J Virol 57:647-655; McGeoch et al. (1985) J Mol Biol 181:1-13,3014169,10.1128/jvi.57.2.647-655.1986,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 envelope glycoprotein G (gG) / chemokine-binding protein,verified
YP_009137140.1,US5,envelope glycoprotein J,Late,Gamma-1,B,Direct Experimental (gJ glycoprotein gamma-1 expression),Ghiasi et al. (1998) Virology 250:430-440; McGeoch et al. (1985) J Mol Biol 181:1-13,9765414,10.1006/viro.1998.9372,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 envelope glycoprotein J (gJ) anti-apoptotic factor,verified
YP_009137141.1,US6,envelope glycoprotein D,Late,Gamma-1,A,Direct Experimental (gD glycoprotein leaky late gamma-1 expression),Watson et al. (1982) Science 218:381-384; Cohen et al. (1980) J Virol 36:429-439; Honess & Roizman (1974) J Virol,6288921,10.1126/science.6288921,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 essential receptor-binding envelope glycoprotein D (gD),verified
YP_009137142.1,US7,envelope glycoprotein I,Late,Gamma-1,A,Direct Experimental (gI glycoprotein gamma-1 expression),Longnecker et al. (1987) PNAS 84:4303-4307; Johnson & Feenstra (1987) J Virol 61:2208-2216,2824809,10.1073/pnas.84.12.4303,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 envelope glycoprotein I (gI) forming Fc receptor complex with gE,verified
YP_009137143.1,US8,envelope glycoprotein E,Late,Gamma-1,A,Direct Experimental (gE glycoprotein gamma-1 expression),Baucke & Spear (1979) J Virol 32:779-789; Para et al. (1982) J Virol 41:129-136,226144,10.1128/jvi.32.3.779-789.1979,PubMed Primary Literature / Fields Virology,High,Independent Biological Literature Audit,Gamma-1 envelope glycoprotein E (gE) mediating cell-to-cell spread,verified
